label,num_particles,imagereward,hps,geneval
"Fk-Steering ($\lambda = 50.0, \phi = 4$)",2,0.6573707815023917,0.27688482743275317,0.49029022494448027
"Fk-Steering ($\lambda = 50.0, \phi = 4$)",4,0.972386541801621,0.2823115481606013,0.5118416433841966
"Fk-Steering ($\lambda = 50.0, \phi = 4$)",8,1.1030627380699511,0.2855613115252034,0.5277476896625833
"Fk-Steering ($\lambda = 50.0, \phi = 4$)",16,1.2499534070734306,0.2899189788652803,0.5488859338061466
Best-of-N,1,0.30394984135668635,0.2700410535926198,0.4312140912672828
Best-of-N,2,0.6771836599426018,0.2771439785120931,0.4860775306254029
Best-of-N,4,0.8840065540755959,0.28177117180436256,0.5046909699835233
Best-of-N,8,1.0437319951879693,0.28550767122513565,0.5189976896625833
Best-of-N,16,1.174834996312823,0.2880996235024864,0.5559054194426535
"SMC ($\alpha = 0.02, \phi = 4$)",2,0.6622905322532868,0.2775554415545886,0.6739885557704707
"SMC ($\alpha = 0.02, \phi = 4$)",4,1.0227387405150514,0.28510128524807865,0.5338309513575471
"SMC ($\alpha = 0.02, \phi = 4$)",8,1.156332240387954,0.2887084298711573,0.557496776273372
"SMC ($\alpha = 0.02, \phi = 4$)",16,1.328560234160309,0.2919652569789783,0.5955649580915537
"SMC (FT) ($\alpha = 0.02, \phi = 4$)",2,0.8607986571593967,0.28761090076853524,0.5249710760083101
"SMC (FT) ($\alpha = 0.02, \phi = 4$)",4,1.146007143735303,0.29480753065664556,0.5796979547245505
"SMC (FT) ($\alpha = 0.02, \phi = 4$)",8,1.2836963522860994,0.29703746609403253,0.5588611290207034
"SMC (FT) ($\alpha = 0.02, \phi = 4$)",16,1.3923224983383207,0.2984652251921338,0.6138424134966689
"SMC-Grad ($\alpha = 0.02, \phi = 4$)",1,0.6847788099604566,0.2665103960640823,0.4335013253098359
"SMC-Grad ($\alpha = 0.02, \phi = 4$)",2,0.9493859895372596,0.2721371090218128,0.4555128411777348
"SMC-Grad ($\alpha = 0.02, \phi = 4$)",4,1.0936836016677642,0.28117560995422697,0.5168336736155884
"SMC-Grad ($\alpha = 0.02, \phi = 4$)",8,1.2324297438269551,0.2858654939675633,0.557547281323877
"SMC-Grad ($\alpha = 0.02, \phi = 4$)",16,1.3585148808103438,0.29087633681340413,0.565824736728992
Best-of-N (FT),1,0.6102733776646129,0.283267360914896,0.5025908016333549
Best-of-N (FT),2,0.9091690245840638,0.2896549714624774,0.5419089834515366
Best-of-N (FT),4,1.0570607612643788,0.29257450483160036,0.5443673436492585
Best-of-N (FT),8,1.1999336687391573,0.2948792717987116,0.5772706676696039
Best-of-N (FT),16,1.2970141218520472,0.29628230779554704,0.5878575650118203
"SMC (FT) ($\alpha = 0.02, \phi = 1$)",2,0.892091690187526,0.28824310578661844,0.5037769539365283
"SMC (FT) ($\alpha = 0.02, \phi = 1$)",4,1.1502097968490386,0.2925758292834539,0.5491714127086468
"SMC (FT) ($\alpha = 0.02, \phi = 1$)",8,1.2897319439545973,0.2984027552130425,0.5807015187334336
"SMC (FT) ($\alpha = 0.02, \phi = 1$)",16,1.3687678266663583,0.298756383857934,0.5833247367289921
